timestamp,open,high,low,close,volume
2025-09-22,156.0800,156.0800,153.0500,153.0700,8712910
2025-09-19,157.6100,157.6200,155.9700,156.0400,17224774
2025-09-18,158.1500,159.0242,157.1600,157.3200,7651487
2025-09-17,158.4250,161.6700,158.4250,160.3300,6764169
2025-09-16,157.1350,158.3900,156.8900,158.0500,6559608
2025-09-15,157.8800,158.5200,156.2000,156.8300,5994966
2025-09-12,157.9300,159.1300,157.7800,157.9000,5957021
2025-09-11,157.7200,159.3500,157.3900,158.6300,5819875
2025-09-10,158.5950,158.9400,155.8900,157.3500,6205463
2025-09-09,158.6100,159.8650,158.1950,159.4600,4984936
2025-09-08,159.6100,160.2700,158.2500,159.0100,7178356
2025-09-05,158.5500,160.5600,158.4100,160.0200,6436150
2025-09-04,158.5200,159.7500,157.8100,159.1900,6935245
2025-09-03,157.6500,158.6350,156.4950,158.1700,6508452
2025-09-02,157.3600,158.8600,156.9800,157.9900,6432837
2025-08-29,156.0900,157.5550,155.6501,157.0400,5318179
2025-08-28,157.0000,157.0100,155.0300,155.6500,5857727
2025-08-27,156.1500,157.1250,155.7900,156.9600,4551219
2025-08-26,155.9200,156.6950,155.3400,155.9700,6337977
2025-08-25,158.3900,158.7000,155.8900,156.1500,4692505
2025-08-22,159.3800,160.6800,158.3100,158.6700,5797325
2025-08-21,157.9300,159.0600,157.1750,158.7300,6417695
2025-08-20,158.5800,161.0300,158.4100,159.5100,7840355
2025-08-19,155.7250,158.7000,155.6700,158.4000,7868129
2025-08-18,154.4200,156.9150,154.1700,155.7200,8274726
2025-08-15,154.4700,155.6000,154.2100,154.3600,7121700
2025-08-14,154.6400,154.7000,153.2700,153.7400,6343715
2025-08-13,155.2050,157.0110,154.9500,155.4100,5812356
2025-08-12,155.0600,155.5450,154.3100,155.0900,6938336
2025-08-11,153.5400,155.3900,153.3100,154.9800,7331707
2025-08-08,152.7700,153.7900,152.5700,153.5100,5811281
2025-08-07,153.1200,154.0100,152.7000,153.4900,6719044
2025-08-06,150.8600,153.4800,150.2100,152.8600,7376213
2025-08-05,150.7100,152.0800,150.3200,150.5100,6670065
2025-08-04,150.2500,151.4600,150.0200,150.7600,7679361
2025-08-01,151.7750,153.4900,150.5200,150.6500,8594220
2025-07-31,151.8000,152.0000,149.9100,150.4700,11845443
2025-07-30,157.0000,157.0000,152.0500,152.8800,8162888
2025-07-29,158.6500,158.6500,154.8400,156.6100,11466058
2025-07-28,157.6250,158.0900,156.2300,157.1100,7885026
2025-07-25,157.3400,158.4400,157.0200,158.3000,5800248
2025-07-24,158.8700,159.0200,158.0500,158.8100,7027392
2025-07-23,158.2200,158.8800,157.6800,158.2800,4804795
2025-07-22,154.9200,158.3700,154.9000,158.3200,8186970
2025-07-21,155.0700,155.9400,154.8900,155.0300,6328370
2025-07-18,153.7800,155.5650,153.6300,155.1000,7337252
2025-07-17,154.0400,155.7500,153.8750,155.6200,8319996
2025-07-16,152.7400,153.7600,152.2700,153.7300,8478997
2025-07-15,153.5600,154.0500,151.9000,152.6800,9142615
2025-07-14,155.5800,155.8000,152.8600,153.7600,11491688
2025-07-11,158.0500,158.0500,156.4400,157.0500,8053808
2025-07-10,157.7600,159.6099,157.0400,158.4900,7201748
2025-07-09,158.1000,158.2000,155.9500,157.5200,18770894
2025-07-08,159.5200,159.7800,157.4400,157.8900,12034764
2025-07-07,160.8900,161.1800,159.2900,160.5000,7225695
2025-07-03,161.7900,162.0200,159.7850,160.8300,6999589
2025-07-02,161.1350,161.3500,159.8600,161.2000,8848744
2025-07-01,159.8800,162.5300,159.3800,161.2200,10664891
2025-06-30,159.2600,159.9000,158.1300,159.3200,11238201
2025-06-27,158.6800,160.1300,158.2900,159.8600,19256955
2025-06-26,159.5500,159.5600,157.1700,158.6300,7410446
2025-06-25,159.8250,160.3400,158.7100,158.9700,5933715
